2006/07/22 07:55
Points
lat        lon 
34.311321 35.624588 
34.309072 35.624588 
34.306823 35.619164 
34.306823 35.621876 
34.304574 35.619164 
34.304574 35.616452 
34.302324 35.613740 
34.302324 35.616452 
34.300075 35.613740 
34.297826 35.611028 
34.297826 35.613740 
34.295578 35.608316 
34.295578 35.611028 
34.293329 35.608316 
34.293329 35.605604 
34.293329 35.602892 
34.291080 35.602892 
34.291080 35.600180 
34.288831 35.600180 
34.286581 35.597468 
34.286581 35.600180 
34.286581 35.594756 
34.284332 35.594756 
34.282083 35.594756 
34.279835 35.592044 
34.279835 35.594756 
34.277586 35.592044 
34.275337 35.592044 
34.273088 35.592044 
34.270838 35.592044 
34.268589 35.592044 
34.266340 35.592044 
34.264091 35.592044 
34.261843 35.592044 
34.259594 35.592044 
34.259594 35.589332 
34.257345 35.586620 
34.257345 35.589332 
34.255096 35.583908 
34.255096 35.586620 
34.252846 35.583908 
34.250597 35.583908 
34.250597 35.581196 
34.248348 35.581196 
34.246100 35.578484 
34.243851 35.578484 
34.241602 35.578484 
34.241602 35.575772 
34.239353 35.575772 
34.237104 35.575772 
34.234854 35.575772 
34.232605 35.575772 
34.230356 35.575772 
34.228108 35.575772 
34.225859 35.575772 
34.225859 35.573060 
34.223610 35.573060 
34.221361 35.573060 
34.219111 35.573060 
34.216862 35.570348 
34.216862 35.573060 
34.214613 35.570348 
34.212365 35.567636 
34.212365 35.570348 
34.210116 35.567636 
34.207867 35.567636 
34.207867 35.564924 
34.205618 35.564924 
34.203368 35.562212 
34.203368 35.564924 
34.201119 35.562212 
34.198870 35.562212 
34.198870 35.556788 
34.198870 35.559500 
34.196621 35.551364 
34.196621 35.556788 
34.196621 35.554076 
34.196621 35.556788 
34.196621 35.559500 
34.194373 35.556788 
34.194373 35.556788 
34.194373 35.551364 
34.194373 35.554076 
34.194373 35.554076 
34.192124 35.548652 
34.192124 35.551364 
34.192124 35.554076 
34.192124 35.556788 
34.192124 35.554076 
34.189875 35.545940 
34.189875 35.548652 
34.189875 35.551364 
34.189875 35.554076 
34.189875 35.556788 
34.187626 35.548652 
34.187626 35.545940 
34.187626 35.551364 
34.187626 35.554076 
34.185376 35.543228 
34.185376 35.551364 
34.185376 35.545940 
34.185376 35.548652 
34.185376 35.554076 
34.183127 35.551364 
34.183127 35.537804 
34.183127 35.540516 
34.183127 35.543228 
34.183127 35.545940 
34.183127 35.548652 
34.180878 35.543228 
34.180878 35.535092 
34.180878 35.537804 
34.180878 35.540516 
34.180878 35.548652 
34.180878 35.545940 
34.178630 35.532380 
34.178630 35.535092 
34.178630 35.537804 
34.178630 35.540516 
34.178630 35.543228 
34.178630 35.545940 
34.178630 35.548652 
34.176381 35.529668 
34.176381 35.548652 
34.176381 35.532380 
34.176381 35.535092 
34.176381 35.537804 
34.176381 35.540516 
34.176381 35.543228 
34.176381 35.545940 
34.174132 35.543228 
34.174132 35.526956 
34.174132 35.529668 
34.174132 35.532380 
34.174132 35.535092 
34.174132 35.537804 
34.174132 35.540516 
34.171883 35.537804 
34.171883 35.526956 
34.171883 35.529668 
34.171883 35.540516 
34.171883 35.532380 
34.171883 35.535092 
34.171883 35.524244 
34.169634 35.524244 
34.169634 35.521532 
34.169634 35.529668 
34.169634 35.532380 
34.169634 35.535092 
34.169634 35.537804 
34.169634 35.540516 
34.169634 35.526956 
34.167384 35.529668 
34.167384 35.526956 
34.167384 35.524244 
34.167384 35.521532 
34.167384 35.535092 
34.167384 35.516108 
34.167384 35.518820 
34.167384 35.532380 
34.165135 35.548652 
34.165135 35.543228 
34.165135 35.532380 
34.165135 35.529668 
34.165135 35.526956 
34.165135 35.524244 
34.165135 35.521532 
34.165135 35.551364 
34.165135 35.554076 
34.165135 35.518820 
34.165135 35.516108 
34.165135 35.545940 
34.162886 35.532380 
34.162886 35.526956 
34.162886 35.535092 
34.162886 35.537804 
34.162886 35.540516 
34.162886 35.543228 
34.162886 35.513396 
34.162886 35.516108 
34.162886 35.518820 
34.162886 35.521532 
34.162886 35.524244 
34.162886 35.554076 
34.160638 35.491700 
34.160638 35.516108 
34.160638 35.518820 
34.160638 35.526956 
34.160638 35.526956 
34.160638 35.529668 
34.160638 35.532380 
34.160638 35.554076 
34.160638 35.556788 
34.160638 35.521532 
34.160638 35.513396 
34.160638 35.524244 
34.160638 35.488988 
34.160638 35.513396 
34.160638 35.510684 
34.158389 35.559500 
34.158389 35.488988 
34.158389 35.491700 
34.158389 35.510684 
34.158389 35.526956 
34.158389 35.510684 
34.158389 35.513396 
34.158389 35.516108 
34.158389 35.518820 
34.158389 35.521532 
34.158389 35.556788 
34.158389 35.524244 
34.156140 35.524244 
34.156140 35.526956 
34.156140 35.507972 
34.156140 35.559500 
34.156140 35.483564 
34.156140 35.486276 
34.156140 35.488988 
34.156140 35.491700 
34.156140 35.494412 
34.156140 35.510684 
34.156140 35.521532 
34.156140 35.507972 
34.156140 35.510684 
34.156140 35.513396 
34.156140 35.516108 
34.156140 35.518820 
34.153891 35.521532 
34.153891 35.480852 
34.153891 35.483564 
34.153891 35.486276 
34.153891 35.488988 
34.153891 35.491700 
34.153891 35.494412 
34.153891 35.497124 
34.153891 35.499836 
34.153891 35.502548 
34.153891 35.505260 
34.153891 35.507972 
34.153891 35.518820 
34.153891 35.516108 
34.153891 35.559500 
34.153891 35.513396 
