2006/07/19 10:35
Points
lat        lon 
34.171883 35.583908 
34.171883 35.578484 
34.171883 35.575772 
34.171883 35.600180 
34.171883 35.602892 
34.171883 35.605604 
34.171883 35.608316 
34.171883 35.611028 
34.171883 35.581196 
34.169634 35.597468 
34.169634 35.600180 
34.169634 35.602892 
34.169634 35.605604 
34.169634 35.573060 
34.169634 35.578484 
34.169634 35.608316 
34.169634 35.575772 
34.169634 35.594756 
34.169634 35.581196 
34.167384 35.575772 
34.167384 35.573060 
34.167384 35.581196 
34.167384 35.602892 
34.167384 35.592044 
34.167384 35.600180 
34.167384 35.578484 
34.167384 35.594756 
34.167384 35.597468 
34.165135 35.573060 
34.165135 35.575772 
34.165135 35.600180 
34.165135 35.597468 
34.165135 35.594756 
34.165135 35.592044 
34.165135 35.589332 
34.165135 35.586620 
34.165135 35.583908 
34.165135 35.578484 
34.165135 35.602892 
34.165135 35.570348 
34.162886 35.570348 
34.162886 35.586620 
34.162886 35.589332 
34.162886 35.592044 
34.162886 35.594756 
34.162886 35.597468 
34.162886 35.600180 
34.162886 35.602892 
34.162886 35.583908 
34.162886 35.575772 
34.162886 35.573060 
34.160638 35.597468 
34.160638 35.567636 
34.160638 35.592044 
34.160638 35.589332 
34.160638 35.586620 
34.160638 35.583908 
34.160638 35.570348 
34.160638 35.573060 
34.160638 35.605604 
34.160638 35.602892 
34.160638 35.600180 
34.160638 35.594756 
34.158389 35.567636 
34.158389 35.570348 
34.158389 35.605604 
34.156140 35.570348 
34.156140 35.567636 
34.153891 35.570348 
34.153891 35.564924 
34.153891 35.567636 
34.151641 35.564924 
34.151641 35.567636 
34.149392 35.564924 
34.149392 35.559500 
34.149392 35.567636 
34.147143 35.556788 
34.147143 35.562212 
34.147143 35.564924 
34.147143 35.567636 
34.144894 35.556788 
34.144894 35.567636 
34.144894 35.564924 
34.144894 35.562212 
34.142646 35.554076 
34.142646 35.562212 
34.142646 35.559500 
34.142646 35.551364 
34.142646 35.564924 
34.142646 35.567636 
34.140397 35.559500 
34.140397 35.562212 
34.140397 35.564924 
34.140397 35.567636 
34.140397 35.554076 
34.140397 35.551364 
34.138148 35.567636 
34.138148 35.554076 
34.138148 35.551364 
34.138148 35.548652 
34.138148 35.559500 
34.138148 35.564924 
34.138148 35.562212 
34.135898 35.559500 
34.135898 35.562212 
34.135898 35.564924 
34.135898 35.548652 
34.135898 35.551364 
34.133649 35.562212 
34.133649 35.564924 
34.133649 35.608316 
34.133649 35.605604 
34.133649 35.602892 
34.133649 35.559500 
34.133649 35.611028 
34.133649 35.613740 
34.133649 35.545940 
34.133649 35.548652 
34.133649 35.551364 
34.131400 35.545940 
34.131400 35.602892 
34.131400 35.551364 
34.131400 35.600180 
34.131400 35.559500 
34.131400 35.562212 
34.131400 35.564924 
34.131400 35.548652 
34.129151 35.556788 
34.129151 35.562212 
34.129151 35.564924 
34.129151 35.548652 
34.129151 35.624588 
34.129151 35.545940 
34.129151 35.627300 
34.129151 35.597468 
34.129151 35.600180 
34.129151 35.559500 
34.129151 35.621876 
34.126903 35.562212 
34.126903 35.548652 
34.126903 35.545940 
34.126903 35.556788 
34.126903 35.616452 
34.126903 35.619164 
34.126903 35.559500 
34.126903 35.564924 
34.126903 35.621876 
34.124654 35.559500 
34.124654 35.619164 
34.124654 35.548652 
34.124654 35.545940 
34.124654 35.616452 
34.124654 35.556788 
34.124654 35.562212 
34.124654 35.564924 
34.122405 35.556788 
34.122405 35.559500 
34.122405 35.613740 
34.122405 35.562212 
34.122405 35.616452 
34.122405 35.619164 
34.122405 35.564924 
34.122405 35.545940 
34.122405 35.548652 
34.122405 35.611028 
34.120156 35.630012 
34.120156 35.627300 
34.120156 35.608316 
34.120156 35.548652 
34.120156 35.605604 
34.120156 35.611028 
34.120156 35.562212 
34.120156 35.559500 
34.120156 35.545940 
34.120156 35.556788 
34.120156 35.564924 
34.120156 35.613740 
34.117906 35.556788 
34.117906 35.545940 
34.117906 35.548652 
34.117906 35.624588 
34.117906 35.564924 
34.117906 35.562212 
34.117906 35.559500 
34.117906 35.605604 
34.117906 35.627300 
34.115657 35.548652 
34.115657 35.564924 
34.115657 35.556788 
34.115657 35.627300 
34.115657 35.624588 
34.115657 35.562212 
34.115657 35.545940 
34.115657 35.559500 
34.113408 35.616452 
34.113408 35.543228 
34.113408 35.619164 
34.113408 35.621876 
34.113408 35.624588 
34.113408 35.556788 
34.113408 35.559500 
34.113408 35.562212 
34.113408 35.564924 
34.113408 35.613740 
34.113408 35.545940 
34.111159 35.611028 
34.111159 35.613740 
34.111159 35.616452 
34.111159 35.543228 
34.111159 35.540516 
34.111159 35.556788 
34.111159 35.559500 
34.111159 35.562212 
34.111159 35.564924 
34.108911 35.554076 
34.108911 35.556788 
34.108911 35.559500 
34.108911 35.562212 
34.108911 35.608316 
34.108911 35.611028 
34.108911 35.543228 
34.108911 35.540516 
34.108911 35.613740 
34.108911 35.605604 
34.106662 35.556788 
34.106662 35.540516 
34.106662 35.543228 
34.106662 35.554076 
34.106662 35.562212 
34.106662 35.559500 
34.106662 35.551364 
34.104413 35.556788 
34.104413 35.543228 
34.104413 35.540516 
34.104413 35.559500 
34.104413 35.554076 
34.104413 35.551364 
34.102164 35.559500 
34.102164 35.554076 
34.102164 35.543228 
34.102164 35.540516 
34.102164 35.556788 
34.102164 35.551364 
